,name,room_type,price,minimum_nights,number_of_reviews,availability_365
259,Small tidy bedroom in duplex,Private room,60,14,9,0
267,Prime East Village 1 Bedroom,Entire home/apt,200,3,0,0
270,cozy bedroom in lovely garden apt,Private room,110,6,50,0
276,"Room in S3rd/Bedford, Williamsburg",Private room,60,3,0,0
310,1BR: See Central Park from Terrace!,Entire home/apt,110,13,38,0
317,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",Private room,55,2,1,0
323,"Historic House Boerum Hill, BK, NYC",Entire home/apt,135,4,6,0
331,Columbia Castle in Brooklyn Heights,Private room,100,3,66,0
338,East Village Designer's 1-BR APT,Entire home/apt,225,2,33,0
340,So Much Room in Brooklyn,Entire home/apt,150,5,5,0
352,Lovely 1BR in Tree-lined WBurg,Entire home/apt,140,7,13,0
357,Comfortable Cozy Space in El Barrio,Shared room,65,7,131,0
362,Colorful Artistic Williamsburg Apt,Private room,100,3,31,0
375,Cozy Private Room in West Harlem!,Private room,90,1,1,0
382,"Manhattan Studio, Perfect Location",Entire home/apt,145,6,39,0
390,Spacious East Village apt near it all,Private room,87,2,0,0
399,Gorgeous Upper West Side Apartment,Private room,85,1,3,0
404,Spacious West Village 1 b/room King,Entire home/apt,170,4,24,0
405,Perfect Williamsburg Summer Haven,Entire home/apt,125,2,15,0
410,The Ground Studio - West Side,Entire home/apt,132,4,10,0
415,Holiday Time in NY - Oh My!!,Private room,79,2,115,0
419,LUXURY SOHO 2 Bedroom Apt ,Entire home/apt,375,3,18,0
421,"EAST VILLAGE STUDIO, sunny & quiet",Entire home/apt,150,4,22,0
423,1 Bdrm in 4 Bdrm dupelx/roof deck,Private room,96,1,34,0
424,The Heart of Prime Williamsburg,Entire home/apt,145,7,8,0
425,Parisian apartment in Chelsea,Entire home/apt,200,4,0,0
426,Cozy 2 Bedroom with Private Garden,Entire home/apt,95,5,2,0
429,NYC - Sunny Greenwich Village 1br,Entire home/apt,175,3,18,0
432,Your own apartment off Park Avenue,Entire home/apt,250,4,0,0
434,Lower East Side 2 Bed Apt.,Entire home/apt,250,4,19,0
436,"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",Private room,98,2,8,0
450,"Nice, cozy, neat apt Greenpoint,BK",Entire home/apt,130,5,4,0
454,"Chelsea living, 2BR best location",Private room,150,2,37,0
455,LOCATION LOCATION LOCATION UWS 60's,Entire home/apt,200,3,10,0
458,Surfer room 15mins to downtown NYC!,Private room,90,6,3,0
462,Blue Room in Awesome Artist's Apartment!,Private room,89,3,205,0
467,Amazing Brownstone in Best Brooklyn,Entire home/apt,500,7,7,0
471,LG Private Room/Family Friendly,Private room,60,3,480,0
473,"3 BR, Beautiful Brooklyn Duplex",Entire home/apt,350,5,6,0
475,Gorgeous Duplex + Garden,Entire home/apt,219,5,2,0
483,Warehouse Loft with Garden view,Entire home/apt,75,2,87,0
486,Very close to Downtown Awesome Private Apartment,Entire home/apt,106,7,0,0
487,The Happy home!,Entire home/apt,79,2,15,0
495,Cozy private family home in Bushwick,Entire home/apt,150,2,11,0
496,Luxury 2Bed/2.5Bath Central Park View,Entire home/apt,2000,30,30,0
501,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",Entire home/apt,429,10,18,0
512,Clean and bright with a comfortable atmosphere,Private room,75,4,80,0
515,Comfort at Crossroads of Downtown,Entire home/apt,250,1,2,0
518,UNION SQUARE/ E. VILL 1BR BEAUTIFUL,Entire home/apt,165,1,63,0
531,Quiet Chelsea Studio w/Charm,Entire home/apt,149,6,23,0
539,Huge Bklyn Loft w Private Roofdeck,Entire home/apt,265,5,15,0
545,Best Manhattan Studio Deal!   ,Shared room,90,1,0,0
548,Cozy and spacious - rare for NYC!,Private room,67,4,72,0
549,Beautiful UES apartment,Entire home/apt,190,1,8,0
558,"Sunny, Spacious Studio in Ft.Greene",Entire home/apt,157,2,4,0
561,Central Bedford Avenue Apartment,Entire home/apt,185,3,14,0
565,East Village House -- Unique!,Entire home/apt,250,1,60,0
568,Quiet One Bedroom in Park Slope,Entire home/apt,100,7,9,0
570,RARE Penthouse Oasis featured on DesignSponge,Private room,200,30,25,0
583,Lovely HUGE Master Bed + Study,Private room,75,3,59,0
585,1 Bedroom in prime Flatiron,Private room,250,2,0,0
593,"BEAUTIFUL APARTMENT, GREAT LOCATION",Entire home/apt,230,4,18,0
594,Quiet sunny studio Midtown,Entire home/apt,125,4,3,0
608,Oversized Studio in Park Slope,Entire home/apt,200,5,1,0
621,HUGE Sunny Duplex Loft with Garden,Entire home/apt,300,1,40,0
627,charming 2bdrm apt in East Village,Entire home/apt,160,4,0,0
630,Nolita Penthouse_Private Deck_Elev_,Entire home/apt,300,7,2,0
632,Lower East Side/Chinatown 1 Bedroom,Entire home/apt,100,5,8,0
635,Spacious & Charming by Prospect Pk,Entire home/apt,80,21,5,0
641,"BIG 1br, SLEEPS 4, dishwashr, TV",Entire home/apt,137,1,24,0
649,"Sweet Apt, Steps From Gramercy Park",Entire home/apt,135,1,5,0
654,Large & bright 900ft² 1br in WV,Entire home/apt,246,4,6,0
657,Pre-War Williamsburg Loft,Entire home/apt,295,5,125,0
658,1 Bedroom Available In My Two Bedroom Flat,Private room,150,3,0,0
659,SPACIOUS PRIVATE LITTLE ITALY FLAT,Entire home/apt,119,1,49,0
666,Whole apartment / 2 bedroom in NYC,Entire home/apt,200,3,49,0
673,Chez Carine - Privacy in Manhattan,Private room,81,2,72,0
685,Husband & Wife Art-Filled Apartment,Entire home/apt,110,1,2,0
696,"Fresh, Clean Brooklyn Garden Apt.",Entire home/apt,154,3,233,0
698,My Home Is Your Home,Private room,75,4,20,0
700,CHELSEA 1 Bdrm Plus Sleeping Loft!!,Entire home/apt,195,365,10,0
701,Spacious room in beautiful apt! ,Private room,58,1,143,0
705,Fort Greene brownstone 1BR- SUBLET,Entire home/apt,70,7,4,0
708,Apartment in Best location in NYC,Entire home/apt,145,7,11,0
710,Chelsea/West Village - 2bdrm apt,Private room,95,5,20,0
711,1500+ sq ft 2BR West Village Loft,Entire home/apt,375,7,8,0
717,Room in East Village with Private Entrance,Private room,88,2,69,0
719,Prime Williamsburg 1/BD New Condo,Entire home/apt,185,180,24,0
720,City Skyline Views from every room!,Private room,73,2,95,0
724,Zen Eyrie –Airport Pick-Up: JFK/LGA,Private room,48,90,17,0
725,Studio sublet in Hell's kitchen,Entire home/apt,200,5,8,0
726,Luxury NYC 2 Bedroom with Terrace,Entire home/apt,485,7,11,0
732,West Village cozy 2 bedroom  NYC ,Entire home/apt,220,4,0,0
734,REAL 2BR-HEART OF SOHO-LITTLE ITALY,Entire home/apt,199,28,89,0
735,BIG ROOM / DOWNTOWN  LOFT /,Private room,65,30,10,0
736,Large Sunny Bedroom in QNS NYC,Private room,55,1,38,0
741,Resort-like living in Williamsburg,Entire home/apt,290,30,1,0
753,Tranquil in the heart of Brooklyn 1,Private room,65,5,45,0
760,"SUNNY, SPACIOUS APT. in  FT. GREENE",Entire home/apt,88,5,7,0
763,Beautiful bed and bath - Manhattan,Private room,200,6,0,0
774,Sunny Entire Apt with Romantic Bedroom,Entire home/apt,70,6,58,0
776,Large Room in a Huge NY apartment.,Private room,30,5,3,0
778,"Large, furnished room in a 2 bedroom!",Private room,64,1,1,0
782,Crown Height's Brooklyn Cozy Apt,Entire home/apt,250,5,26,0
783,Amazing West Village 2br,Entire home/apt,200,27,1,0
784,Authentic NY Charming Artist Loft,Entire home/apt,140,5,14,0
787,QT STUDIO FOR ROMANTIC COUPLES,Entire home/apt,90,3,107,0
791,One bedroom sharing Bathroom,Private room,75,7,0,0
795,Hells Kitchen Ground Fl 1-bedroom,Entire home/apt,175,3,10,0
798,Huge room with private balcony,Private room,300,6,1,0
800,Great spacious room by the L train!,Private room,47,15,5,0
802,Private Room in Brownstone,Private room,75,2,101,0
805,HOT SPOT FOR 20 AND 30 SOMETHING'S,Entire home/apt,300,2,40,0
810,Sunny 1BR Center of East Village!,Entire home/apt,179,8,15,0
811,"2BR in Cobble Hill, Brooklyn, NY",Entire home/apt,189,2,13,0
813,Decorators 5-Star Flat West Village,Entire home/apt,450,20,157,0
814,Beautiful SoHo Luxury Apartment,Entire home/apt,249,5,8,0
820,"Entire Apartment in Astoria, 15mins from Manhattan",Entire home/apt,70,5,1,0
824,Beautiful Spacious One Bedroom,Entire home/apt,100,5,0,0
825,Room next to Columbia Uni.,Entire home/apt,110,1,0,0
828,NYC Summer Getaway | Full Home 2BR,Entire home/apt,192,3,7,0
830,Beautiful New Garden Apartment ,Entire home/apt,150,1,88,0
834,"Lovely apt in Williamsburg, BK",Entire home/apt,105,3,11,0
837,Modern apartment w/ gorgeous view,Private room,125,3,17,0
838,"Sunny, clean br available",Private room,60,7,1,0
839,Have Whole Apt! Prime Williamsburg!,Entire home/apt,85,1,73,0
843,Sublet in Brooklyn/Lefferts Gardens,Private room,44,5,2,0
844,"Cozy Corner, Bedford Ave  Brooklyn!",Private room,55,5,18,0
845,"HISTORIC WILLIAMSBURG, BKLYN #1",Private room,30,3,24,0
846,Inexpensive apartment in exchange for cat-care,Private room,35,3,1,0
849,Large Double Room  Queenbed Wifi,Private room,52,2,93,0
851,1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng,Private room,190,3,0,0
857,Sunny 1BR East Harlem Apartment,Entire home/apt,150,7,12,0
862,Spacious + Sunny Studio in Ft. Greene Brooklyn!,Private room,135,3,16,0
887,Entire 2 Bedroom Apartment in Williamsburg,Entire home/apt,225,4,26,0
888,Big Bright E Village 2BR (Baby Nursery),Entire home/apt,245,5,18,0
890,"Luxury Williamsburg, Brooklyn LOFT",Entire home/apt,325,2,320,0
892,Chelsea/Meat Packing  Artist Space!,Private room,120,2,78,0
896,Real Williamsburg Artist Loft,Entire home/apt,160,3,25,0
900,"Lovely studio in East Village, NY",Entire home/apt,150,5,1,0
905,Your Historic House in Brooklyn,Entire home/apt,500,4,9,0
910,Artist's Flat in Historic Building #10263,Entire home/apt,200,30,53,0
916,"Bright, new luxury apartment in doorman building",Entire home/apt,387,1,23,0
918,"Lincoln Center Studio, Clean&Sunny!",Entire home/apt,99,2,36,0
925,21 day Chelsea Apartment rental,Private room,160,21,0,0
926,"Heavy Sun, Quiet, Arty 1 Bedroom",Entire home/apt,70,18,19,0
927,Cosy apartment in West Village,Private room,100,3,7,0
928,Spacious Lower East Side Apt in NYC,Entire home/apt,140,1,53,0
930,Williamsburg Loft: Amazing Sublet,Private room,160,5,0,0
936,Cute Private room in Upper East Side #14,Private room,60,3,5,0
940,It's so easy to get to EVERYthing!,Entire home/apt,185,3,34,0
944,"Luxury, Adorable Studio Apartment",Shared room,115,30,12,0
948,Sunny large private room in Park Slope,Private room,80,2,30,0
949,Eastern Parkway Brooklyn 1BR Flat,Entire home/apt,125,5,1,0
952,Private MasterBR w/ View of Museum,Private room,56,3,63,0
954,"Comfy Brooklyn 2BD, W/ Backyard",Entire home/apt,190,2,5,0
958,Great apt on the UWS - A RARE FIND!,Entire home/apt,145,3,22,0
961,Luxury L-Shape Studio + 3 cats,Entire home/apt,50,30,3,0
964,"Beautiful 1 bdrm, Inwood Manhattan",Private room,100,1,20,0
965,Beautiful Loft/10 min to Manhattan!,Private room,70,5,2,0
969,Midtown NYC - 1 Bedroom Apartment,Entire home/apt,250,3,116,0
973,LOCATION LOCATION LOCATION Sara's,Entire home/apt,125,30,128,0
974,Quaint & Quiet in Queens,Private room,75,1,59,0
983,Flatiron-Designer's loft,Entire home/apt,350,7,0,0
986,STUNNING E Vill Penthouse,Entire home/apt,225,3,93,0
991,Big Beautiful Railroad in Brooklyn,Entire home/apt,130,30,53,0
998,"Gorgeous Sunny, Spacious 1 bdrm in East Village",Entire home/apt,147,2,16,0
1006,Charming West Village One Bedroom,Entire home/apt,145,5,0,0
1015,"Morocco in Brooklyn with the flyest loft, Amazing!",Entire home/apt,95,5,9,0
1020,Cute east village apartment.,Entire home/apt,175,14,1,0
1025,Great Apt IDEAL Location 900 SF,Entire home/apt,200,7,4,0
1031,Sunny and Zen W. Village Studio of Your Own,Entire home/apt,129,7,5,0
1033,"An airy, comfy, bookish refuge!",Entire home/apt,190,4,8,0
1035,"Very clean, quiet bedroom available",Private room,60,2,13,0
1036,Lux One-bed Central Park View UWS,Entire home/apt,250,1,8,0
1038,Only 5 Min. to Manhattan!,Private room,50,180,69,0
1043,A REAL New Yorkers  Wall St,Entire home/apt,265,4,33,0
1050,Room for the Summer,Private room,55,2,7,0
1052,GREAT 1BR/2BA TERRACE & W/D! in EV!,Entire home/apt,350,5,4,0
1057,Lovely Chelsea 1 Bedroom,Entire home/apt,125,9,10,0
1063,Private Artist’s Apt/ Amazing Location!,Entire home/apt,299,2,5,0
1073,Master Bedroom / ParkSlope Brooklyn,Private room,110,2,0,0
1074,"Spacious 4 bedroom house, New York",Entire home/apt,200,1,3,0
1077,"Family friendly, sunny new condo in McCarren Park",Entire home/apt,260,2,7,0
1079,Large Room w/ Private Entrance,Private room,59,21,6,0
1080,Private spacious studio available,Private room,65,1,3,0
1084,Hello! Cozy-Singles NYC- Upper Manhattan- Harlem!!,Private room,65,4,109,0
1085,Beautiful One Bedroom in Chelsea,Entire home/apt,139,4,23,0
1087,West Village Gem - 2BR,Entire home/apt,315,3,7,0
1089,Beautiful apartment in the heart of The Village,Entire home/apt,210,1,178,0
1092,******AMAZING DEAL IN NYC*****,Entire home/apt,150,2,23,0
1094,Beautiful duplex apt in Harlem,Entire home/apt,100,8,8,0
1096,Beautiful Lower East Side Apt! Women only.,Private room,89,5,4,0
1098,Large Room w/ Private Entrance,Private room,65,7,2,0
1099,Sunny plant-filled apartment with 2 balconies,Entire home/apt,68,2,35,0
1105,$ (Phone number hidden by Airbnb) weeks - room f,Private room,1300,1,0,0
1108,*Unique Master BR in Battery Park!*,Private room,65,2,8,0
1111,TriBeCa Amazing River View Loft 3BR,Entire home/apt,500,10,3,0
1112,Gorgeous Summer Duplex/Yard sublet,Entire home/apt,145,14,3,0
1114,Luxury Doorman Bldg Nr Central Park,Entire home/apt,180,5,13,0
1115,Great Brooklyn Studio/1BR!,Entire home/apt,115,2,10,0
1118,Bright Modern Artist's Apartment,Entire home/apt,155,5,10,0
1119,Studio apartment by Columbus Circle,Entire home/apt,117,7,0,0
1120,Studio Apt in Park Slope- Brooklyn!,Entire home/apt,100,2,17,0
1121,1RW- CARRIAGE HOUSE STUDIO OFF CTYD,Entire home/apt,89,30,57,0
1124,NYC studio in ST MARKS PLACE & 1AVE,Entire home/apt,155,6,17,0
1128,Gorgeous 2 bdrm in Carroll Gardens,Entire home/apt,150,6,2,0
1129,"Spectacular Lux 1 Bed Apt, Best Location, Terrace!",Entire home/apt,380,3,16,0
1134,"Studio 54, Cozy Room For 2",Private room,99,3,117,0
1141,Large home in most desirable Brooklyn hood!,Entire home/apt,350,4,10,0
1145,Great 2 bedroom apartment in Williamsburg!,Entire home/apt,225,7,13,0
1146,Nice apartment with a deck!,Entire home/apt,92,2,58,0
1147,Lovely Central East Village 2 Person Entire Apt,Entire home/apt,185,2,62,0
1150,A Gem in Harlem - Modern Living,Private room,80,3,47,0
1153,Cat lovers: 3-story Park Slope Townhouse with cat!,Entire home/apt,68,3,2,0
1156,Renovated Spacious 1BR Upper West,Entire home/apt,199,3,24,0
1160,Brooklyn waterfront large sunny apt,Private room,75,7,0,0
1171,UPWS sunny DUPLEX +PATIO,Entire home/apt,300,7,0,0
1175,Beautiful Downtown Manhattan Share,Shared room,50,1,61,0
1179,HEART OF SOHO The Perfect One Bedroom Apt,Entire home/apt,198,3,9,0
1180,Charming & Spacious One Bedroom,Entire home/apt,100,5,4,0
1183,Sunny 1BD in Greenwich Village,Entire home/apt,180,3,18,0
1187,SPACIOUS Fabulous Sunny Loft for 2 wks in Fall,Entire home/apt,175,4,13,0
1188,"Enjoy a 1 Bedroom to share, NYC",Private room,80,1,1,0
1197,"Gramercy Pk Area, w Rooftop Gdn!",Entire home/apt,145,3,2,0
1198,"Wake up to the skyline of the city, prime location",Entire home/apt,96,3,1,0
1199,"Artist Loft @ Bushwick, Brooklyn",Entire home/apt,120,5,3,0
1200,Wonderful east village floor thru,Entire home/apt,160,1,15,0
1210,Great studio apt in midtown west!,Entire home/apt,130,5,9,0
1211,"Williamsburg Apt, close to metro L",Entire home/apt,150,3,1,0
1213,Above Graham stop - L train,Private room,95,1,10,0
1214,Beautiful apt 10 min to Wbrg!,Entire home/apt,70,30,3,0
1219,1BR Loft in Brooklyn,Entire home/apt,160,14,3,0
1221,Beautiful 3 room studio in Brooklyn,Private room,150,4,5,0
1230,Beautiful sunny Nolita/Soho Apt,Entire home/apt,150,5,5,0
1232,Large light-filled Apt in Brooklyn,Private room,60,2,0,0
1233,Beautiful Spacious Brownstone,Entire home/apt,100,2,24,0
1236,"Great 1BR, 1BaR in Lux Bldg w Pool",Entire home/apt,175,2,0,0
1238,☆ Home Away From Home <3 of NYC! ☆ 2BR ENTIRE HOME,Entire home/apt,250,4,2,0
1242,King size bedroom in 2 bed apartment,Private room,109,30,304,0
1243,Industrial Loft in Williamsburg,Entire home/apt,450,2,11,0
1249,2RW - CARRIAGE HOUSE STUDIO OFF CTYD,Entire home/apt,99,30,66,0
1250,Sunny 2 Bedroom Duplex with Garden,Entire home/apt,175,3,18,0
1252,"CHELSEA APT- SPACE, LIGHT, BEAUTY! ",Entire home/apt,230,6,6,0
1255,Nice and clean private space in Bklyn loft.,Private room,59,10,19,0
1259,Hell's Kitchen Musician's Hideaway,Entire home/apt,217,2,43,0
1261,Large + Bright private bedroom in NoLiTa,Private room,58,6,18,0
1263,3RW - CARRIAGE HOUSE STUDIO OFF CTYD,Entire home/apt,88,30,60,0
1266,Luxury 2-bdrm w Piano & Gym,Entire home/apt,120,14,0,0
1268,1 corner bedroom with lots of light,Entire home/apt,110,10,16,0
1272,Brooklyn Heights 1brm Private Deck ,Entire home/apt,135,4,5,0
1277,1 BR with garden--East Village,Entire home/apt,90,2,5,0
1278,Cozy Upper East Side 1 Bedroom,Entire home/apt,160,4,16,0
1281,Gorgeous Chelsea loft in the heart of Manhattan,Entire home/apt,399,3,15,0
1285,One Bdrm in Trendy Prospect Hts,Entire home/apt,121,2,46,0
1289,Spacious Room/Hip East Village Apt!,Private room,99,6,80,0
1290,Full apartment close to G & L train,Entire home/apt,104,11,22,0
1291,Huge & sunny 1BR apt in Greenpoint,Entire home/apt,120,5,40,0
1293,Charming old school 1BR in C. Gardens Brooklyn,Entire home/apt,90,4,1,0
1294,Designer Studio in the HEART of WV!,Entire home/apt,197,14,29,0
1295,Studio Apartment Greenwich Village,Entire home/apt,145,5,1,0
1296,Lovely Manhattan Apartment,Entire home/apt,90,30,23,0
1300,Bright friendly room in Brooklyn,Private room,50,2,1,0
1303,Beautiful Garden Duplex in Brooklyn,Entire home/apt,150,5,3,0
1307,Duplex Loft in Fort Greene,Entire home/apt,130,2,11,0
1316,TIMES SQ - FABULOUS 1BR/ BEST VIEW!,Entire home/apt,165,3,25,0
1317,"Beautiful, Quiet, Spacious 1BR - UWS by parks",Entire home/apt,165,4,4,0
1319,Romantic Creative Retreat: Feel the Glow,Entire home/apt,100,5,6,0
1322,Beautiful Park Slope 2 bedroom,Entire home/apt,159,2,4,0
1328,Privet Room in Greenpoint +Backyard *location,Private room,75,5,1,0
1331,Charming Loft in the East Village,Entire home/apt,120,60,5,0
1337,Huge Bdrm in New Wilibrg 3 Bed Loft,Private room,48,5,1,0
1346,Spacious one bedroom apartment in Brooklyn Heights,Entire home/apt,175,10,8,0
1347,Adorable 1 Bedroom,Entire home/apt,140,3,16,0
1349,A GEM IN THE CITY,Entire home/apt,75,2,17,0
1350,Cozy 1BD Manhattan close Central Pk,Entire home/apt,110,7,12,0
1354,Spacious Greenwich Village Loft,Entire home/apt,300,1,5,0
1357,Williamsburg Peace for the Solo Traveler,Private room,77,3,5,0
1361,Beautiful apartment in Park Slope,Entire home/apt,120,4,14,0
1367,Rare Loft Apt in Heart of Brooklyn,Entire home/apt,180,3,2,0
1369,2B+Office Perfect 4 Young Family!!,Entire home/apt,260,14,5,0
1372,Bright UES Gem Near Central Park,Entire home/apt,200,2,17,0
1377,"Cozy 1BR apart. in Prospect Hts, BK",Entire home/apt,125,5,7,0
1388,Full Apt! L Train On The Corner!!,Entire home/apt,90,30,15,0
1390,1 BR Apartment near Prospect Park!,Entire home/apt,115,3,0,0
1391,Brooklyn Carriage House,Entire home/apt,200,4,11,0
1394,NYC/Queens 1 Bedroom Apartment,Entire home/apt,175,14,0,0
1396,"Great room in 2BR, Bright + Cozy!",Private room,85,2,0,0
1403,COMFY-CUTE-N-CLEAN APT in WBURG,Entire home/apt,180,3,0,0
1404,NYC Whole Apt.  Dec 26th- Feb 3rd,Entire home/apt,105,14,6,0
1405,Ti me Square Stylish 1 Bedroom,Entire home/apt,148,4,57,0
1407,Slick Studio with High Ceilings,Entire home/apt,99,8,6,0
1408,East Village perch!,Entire home/apt,175,1,17,0
1409,Big Room in Williamsburg Loft,Private room,85,2,14,0
1413,1-Bd Apt in PRIME Soho - NYC- July,Shared room,195,2,13,0
1416,"Huge factory loft, prime location",Entire home/apt,165,2,179,0
1420,Private bedroom in a 2-fam house for solo traveler,Private room,52,3,1,0
1421,"NOLITA, Home Sweet Home in NYC",Entire home/apt,160,4,2,0
1423,Apt Near Central Park & Columbia!,Private room,60,2,19,0
1431,Central Park Luxury ( BEST DEAL ;),Entire home/apt,150,5,8,0
1437,"Hell's Kitchen, Midtown west!",Private room,140,2,248,0
1439,Gorgeous Modern Manhattan Apt,Private room,100,3,41,0
1442,Lofted Bed in a Funky Family Loft!!,Shared room,45,4,31,0
1446,East Village Hideaway,Entire home/apt,150,1,11,0
1450,Studio With Old-World Character,Entire home/apt,90,7,2,0
1460,BIG East Village 1bd all the extras,Entire home/apt,99,3,10,0
1463,Lovely 2-room Studio in Crown Hghts,Entire home/apt,60,3,1,0
1464,Chic Luxe 1BR 1.5BA 900sf -Midtown ,Entire home/apt,285,7,10,0
1467,"2BR gem in Cobble Hill, Brooklyn",Entire home/apt,200,3,15,0
1473,Cozy room on a tree lined street ,Private room,69,1,30,0
1478,1 bedroom apt in heart of Chelsea,Entire home/apt,250,2,10,0
1481,Winning Location in Hells Kitchen,Entire home/apt,220,2,18,0
1482,Beautiful East Village apartment,Private room,75,5,6,0
1487,1BR in nice 2BR Apt lovely Area ,Private room,50,7,1,0
1492,Great private room in awesome area!,Private room,70,3,0,0
1496,Sunrise Room in Spacious Duplex,Private room,250,2,70,0
1501,Cozy 1 bedroom apartment in NYC,Entire home/apt,75,3,1,0
1504,"Large private bedroom in house, Bushwick/Ridgewood",Private room,65,2,1,0
1510,Midtown West- A COZY ONE bedroom.,Entire home/apt,199,6,40,0
1520,Large Room / Light / Columbia University - UWS,Private room,119,1,96,0
1521,Full 1BR Apartment in Park Slope,Entire home/apt,179,2,77,0
1525,Quirky Sunny Retreat Central Williamsburg,Entire home/apt,199,7,4,0
1533,Private Suite in Historic House,Entire home/apt,134,2,119,0
1537,"Lovely, large studio near Central Park",Entire home/apt,100,3,89,0
1539,5th Ave Apartment in Midtown! ,Private room,120,4,31,0
1545,The Serenity Room in Historic BKLYN,Private room,69,2,13,0
1554,Great apt in the heart of E Village,Entire home/apt,130,7,11,0
1564,"Large room, Outdoor Patio, Great Host, Safe Area!",Private room,103,3,0,0
1567,"**YOUR CHELSEA LOFT, WELCOME HOME",Entire home/apt,425,5,7,0
1575,Room in Clinton Hill Brooklyn Loft,Private room,75,5,1,0
1579,Feel the Brooklyn Love!,Entire home/apt,93,4,1,0
1583,Nice studio apartment in Brooklyn!,Entire home/apt,100,5,9,0
1584,Large pleasant room nr Central Park,Private room,120,1,5,0
1587,Medium-sized furnished room,Private room,60,7,0,0
1588,"NYC Spacious 3b, new, river view",Entire home/apt,350,1,1,0
1591,MANHATTAN CHARMER WOW - ALL YOURS!!,Entire home/apt,200,2,59,0
1602,Garden Pl Historical Artist studio,Entire home/apt,160,1,17,0
1603,Huge Room in South Williamsburg,Private room,65,2,164,0
1604,Feel at HOME away from HOME,Private room,70,7,67,0
1608,Gorgeous Apt Heart of West Villlage,Entire home/apt,200,2,23,0
1612,"Sunny & Clean Apt, Ideal Location",Entire home/apt,140,1,6,0
1614,Centrally located and spacious apt.,Entire home/apt,106,7,10,0
1617,"Homey, Clean studio- East Village",Entire home/apt,120,7,6,0
1627,Beautiful duplex loft with Skylight,Entire home/apt,210,14,10,0
1630,LOVELY 2BR West Village Apt!,Entire home/apt,350,1,237,0
1638,"Entire gorgeous,cozy,light two bed ",Entire home/apt,150,1,2,0
1646,"Lovely, Sunny 1-Bedroom Apt with Kitcat",Entire home/apt,90,1,3,0
1649,Cozy Vintage Studio in Flushing (Close to LGA/JFK),Shared room,108,5,2,0
1650,Cozy 4 BR Brooklyn townhouse in Clinton Hill,Entire home/apt,575,3,12,0
1652,"1 Bed Williamsburg Apt, Amazing Loc",Entire home/apt,175,3,3,0
1653,Charming Brooklyn Abode,Entire home/apt,110,1,3,0
1654,Spacious 3 bedroom in Park Slope ,Entire home/apt,250,10,4,0
1655,"Historic Mansion, Comfortable Room",Private room,100,1,113,0
1657,"Big, close to subway, 3 stops from the city",Entire home/apt,89,3,17,0
1659,LUXURY BROOKLYN LOFT STEPS TO PARK & SUBWAY,Entire home/apt,149,21,52,0
1667,Cozy Soho Studio Loft Apt Bleecker ,Entire home/apt,187,14,1,0
1668,Room: King size bed + private bath,Private room,55,3,10,0
1669,Light-Filled Prospect Height Apt.,Entire home/apt,250,3,61,0
1670,Clean Bright Midtown Studio by Park,Entire home/apt,125,4,3,0
1672,Zen Holiday Getaway,Entire home/apt,175,7,1,0
