,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
322,134355,1,7,0,150,3,36,1,49
323,422561,0,38,1,135,4,6,1,0
324,425506,0,3,1,350,6,14,1,156
325,430188,0,12,0,120,14,76,6,343
326,434987,1,19,0,71,2,182,1,200
327,417504,0,20,0,349,3,8,28,60
328,417504,0,20,0,349,3,7,28,60
329,438133,0,16,1,165,30,34,2,189
330,417504,0,20,0,249,3,2,28,60
331,448312,0,32,0,100,3,66,2,0
332,448312,0,32,1,200,3,80,2,106
333,449787,1,19,1,169,4,240,1,276
334,451545,0,6,1,185,3,46,1,248
335,453519,0,21,1,65,2,228,1,194
336,454756,0,13,1,130,35,5,1,135
337,456638,0,12,1,199,30,8,1,30
338,410094,1,19,1,225,2,33,1,0
339,417504,0,20,0,179,3,13,28,81
340,459054,0,15,1,150,5,5,1,0
341,462776,1,19,1,139,1,388,1,142
342,464506,1,60,0,95,3,223,2,60
343,322716,0,15,1,79,15,11,5,179
344,327900,1,23,1,150,2,151,2,52
345,116599,0,3,1,650,5,0,3,365
346,209460,0,6,1,90,3,218,4,324
347,25183,0,6,1,120,2,75,2,237
348,35375,2,56,0,80,1,42,2,365
349,503800,0,15,1,100,90,0,1,365
350,478395,0,6,1,175,2,370,1,204
351,473113,0,15,1,120,5,104,1,272
352,509341,0,12,1,140,7,13,1,0
353,509918,0,6,1,200,5,4,1,9
354,116599,0,3,0,165,4,11,3,365
355,31374,1,26,1,125,4,1,3,181
356,520279,1,14,1,130,30,19,1,189
357,522065,1,4,2,65,7,131,2,0
358,522164,0,13,1,123,30,15,1,189
359,523218,1,30,0,67,2,136,1,296
360,526653,2,61,0,50,1,43,1,88
361,526805,0,34,1,130,7,98,1,35
362,530032,0,12,0,100,3,31,1,0
363,178043,1,8,1,212,21,45,1,35
364,465278,0,12,1,190,3,124,1,359
365,417504,0,20,0,599,3,9,28,60
366,251176,1,19,1,249,5,166,2,365
367,547386,2,62,0,70,27,13,1,335
368,322716,0,15,1,100,30,15,5,282
369,551055,1,2,0,60,3,380,2,247
370,552679,0,6,1,135,2,86,1,102
371,306739,0,20,1,175,3,248,3,274
372,3088389,1,8,1,120,5,49,1,201
373,568568,1,1,1,169,18,54,1,98
374,572527,0,15,1,165,7,3,1,157
375,573316,1,2,0,90,1,1,1,0
376,571952,1,28,1,225,2,56,1,312
377,181376,0,13,0,95,2,163,2,331
378,314582,0,15,0,55,2,247,2,275
379,275582,1,7,0,85,10,116,1,174
380,579495,0,10,1,199,14,27,2,223
381,314941,1,23,1,211,1,52,3,361
382,582598,1,1,1,145,6,39,1,0
383,567187,1,2,0,65,14,35,1,283
384,127772,1,2,1,99,1,320,1,220
385,585166,2,56,1,110,4,30,1,363
386,209460,0,15,1,80,3,225,4,315
387,593115,0,32,1,150,30,95,1,281
388,2248897,0,6,1,110,4,70,1,283
389,585458,1,14,0,290,2,35,1,20
390,599354,1,19,0,87,2,0,1,0
391,138069,0,12,1,190,4,50,1,331
392,262812,0,12,1,200,2,29,1,36
393,611716,0,16,1,165,2,23,2,7
394,617990,1,2,1,110,2,142,2,301
395,622460,1,19,1,395,2,70,1,170
396,622855,0,6,0,99,2,38,2,307
397,308652,0,0,0,39,1,82,2,365
398,627217,1,19,1,189,2,403,3,201
399,620288,1,8,0,85,1,3,1,0
400,23276,0,34,1,260,30,3,1,316
401,256161,1,2,1,122,1,116,5,271
402,275563,0,20,1,165,2,175,1,139
403,85330,2,63,1,97,3,28,3,209
404,651390,1,11,1,170,4,24,1,0
405,507186,0,12,1,125,2,15,1,0
406,653405,1,5,0,130,4,105,1,193
407,652842,0,12,1,225,10,22,1,52
408,663764,0,54,0,50,2,263,2,136
409,663879,0,13,1,170,3,86,2,286
410,665013,1,14,1,132,4,10,1,0
411,663384,0,16,1,250,7,18,1,18
412,674970,0,20,1,141,5,8,1,9
413,680818,0,15,1,64,20,70,1,3
414,622866,0,12,1,249,3,150,1,277
415,683975,0,15,0,79,2,115,1,0
416,686147,1,19,1,185,2,69,1,233
417,686768,0,38,1,120,3,232,1,221
418,687361,0,16,1,495,1,35,1,355
419,689661,1,64,1,375,3,18,1,0
420,630453,1,64,1,175,3,68,1,277
421,277747,1,19,1,150,4,22,1,0
422,616825,1,2,1,259,8,17,1,343
423,299755,1,19,0,96,1,34,1,0
424,404424,0,12,1,145,7,8,1,0
425,703156,1,14,1,200,4,0,1,0
426,706418,1,8,1,95,5,2,1,0
427,709434,0,17,1,250,4,52,1,188
428,709334,1,2,1,295,2,74,2,264
429,715807,1,52,1,175,3,18,1,0
430,716064,0,12,1,451,2,72,1,331
431,718349,1,8,1,165,2,191,1,236
432,720320,1,28,1,250,4,0,1,0
433,716306,4,65,1,77,1,197,1,309
434,726333,1,23,1,250,4,19,1,0
435,722320,2,56,1,129,1,414,1,245
436,216191,0,12,0,98,2,8,4,0
437,731855,0,16,1,150,2,0,1,8
438,731904,1,19,0,95,7,25,1,359
439,256161,1,2,0,55,3,119,5,333
440,732535,1,2,1,300,2,203,3,258
441,733894,2,39,0,42,40,53,3,236
442,737585,0,20,1,125,2,104,1,22
443,739499,1,19,0,175,3,175,1,236
444,745069,1,2,0,75,3,38,3,365
445,656841,0,12,1,255,45,39,1,89
446,757166,0,6,1,72,31,88,1,164
447,758441,0,6,0,165,1,27,4,311
448,573065,0,12,1,165,5,117,1,23
449,759583,0,3,0,75,3,43,2,365
450,762563,0,20,1,130,5,4,1,0
451,465589,0,12,1,139,2,385,1,222
452,54275,0,6,0,88,1,64,3,238
453,54275,0,6,0,80,1,39,3,218
454,759883,1,14,0,150,2,37,1,0
455,769247,1,8,1,200,3,10,1,0
456,770831,1,19,1,200,2,103,1,235
457,733894,2,39,0,42,40,41,3,246
458,772300,0,12,0,90,6,3,1,0
459,1856604,1,2,1,295,3,227,1,247
460,776490,0,12,1,450,5,37,1,15
461,776645,0,15,1,130,2,29,1,119
462,242506,0,12,0,89,3,205,3,0
463,781647,1,2,1,198,5,42,2,234
464,627217,1,19,1,99,2,280,3,257
465,32169,0,20,0,46,4,86,3,350
466,69439,1,27,0,140,2,54,1,221
467,787273,0,33,1,500,7,7,1,0
468,867225,1,45,0,75,5,57,2,201
469,733894,2,39,0,33,44,31,3,161
470,791287,1,8,1,250,31,188,1,259
471,792159,0,21,0,60,3,480,1,0
472,793620,1,30,0,75,2,34,1,222
473,795640,0,33,1,350,5,6,1,0
474,306605,1,14,1,205,9,3,2,76
475,795889,0,16,1,219,5,2,1,0
476,22486,0,16,0,60,1,20,6,258
477,789257,1,8,1,185,2,129,1,14
478,800982,1,19,1,190,3,147,1,27
479,720558,0,10,1,105,28,101,1,167
480,803086,1,4,1,250,2,11,2,68
481,747698,1,8,1,175,65,11,1,358
482,805344,1,2,0,65,2,41,2,59
483,806112,0,6,1,75,2,87,1,0
484,806214,4,66,0,37,4,117,1,232
485,806774,0,12,1,85,2,86,2,15
486,807642,0,67,1,106,7,0,2,0
487,812814,1,4,1,79,2,15,1,0
488,67778,0,13,0,85,2,35,2,161
489,803086,1,2,0,170,2,17,2,88
490,302772,1,23,0,115,3,3,2,337
491,781647,1,2,0,89,5,43,2,247
492,826192,1,2,2,49,3,168,1,248
493,826459,0,20,0,91,3,241,1,287
494,829652,1,68,1,400,2,105,1,304
495,833926,0,21,1,150,2,11,1,0
496,836168,1,8,1,2000,30,30,11,0
497,842125,0,15,1,97,3,31,1,193
498,844862,1,19,0,100,4,49,2,43
499,846309,0,12,1,179,4,23,1,25
500,848748,0,20,1,500,2,20,2,127
501,848960,1,14,1,429,10,18,1,0
502,849492,1,26,1,189,6,90,1,303
503,21475,1,23,0,120,2,99,1,345
504,314941,1,64,1,300,1,6,3,115
505,864735,2,56,1,107,30,21,8,200
506,864735,2,56,1,95,30,24,8,271
507,872121,1,2,1,199,2,111,1,12
508,39260,1,4,1,120,2,86,1,268
509,872805,1,11,1,199,15,66,2,89
510,873273,4,69,1,125,2,271,2,347
511,876054,0,12,0,70,2,227,1,37
512,889106,0,12,0,75,4,80,1,0
513,871727,1,11,0,100,30,5,1,359
514,279078,0,6,1,99,2,187,2,287
515,904833,1,14,1,250,1,2,1,0
516,906200,0,12,1,350,6,1,1,233
517,909146,0,29,1,170,3,67,1,129
518,909234,1,19,1,165,1,63,1,0
519,179020,1,7,0,99,1,89,1,353
520,912541,1,14,0,255,4,1,1,365
521,489400,0,70,1,169,3,177,1,297
522,915640,0,15,1,99,4,90,1,56
523,918866,1,28,1,169,7,39,1,44
524,920542,0,6,1,160,3,42,1,355
525,922922,0,29,1,215,3,33,1,156
526,874471,0,16,1,130,3,179,1,273
527,923915,1,19,0,110,3,81,2,274
528,936114,1,7,0,150,28,43,2,258
529,302936,0,12,0,65,30,52,1,276
530,938056,2,39,0,75,2,160,1,65
531,48599,1,14,1,149,6,23,2,0
532,936830,1,8,0,89,6,35,1,180
533,940724,1,30,0,50,1,225,1,343
534,949221,0,24,0,43,1,401,2,43
535,949221,0,24,0,42,1,72,2,96
536,304493,0,12,0,85,1,46,1,59
537,953279,0,6,1,139,3,83,1,255
538,611716,0,16,0,105,1,211,2,252
539,953565,0,16,1,265,5,15,1,0
540,960836,1,7,1,149,1,122,1,20
541,964482,1,2,0,68,2,295,2,188
542,289135,0,6,1,99,3,207,1,304
543,971075,1,2,0,75,3,50,2,38
544,973438,0,12,0,100,2,273,1,254
545,933378,1,28,2,90,1,0,1,0
546,568325,1,19,1,160,30,25,1,46
547,988350,0,16,1,190,4,105,1,328
548,918087,0,6,0,67,4,72,3,0
549,1000477,1,28,1,190,1,8,1,0
550,51038,0,3,1,248,2,58,6,199
551,903686,0,12,0,100,6,8,1,249
552,464506,1,9,0,95,3,172,2,64
553,1007558,1,71,0,150,1,330,1,111
554,1010242,0,6,1,145,3,123,1,287
555,1011426,0,21,0,41,2,55,1,286
556,1012691,0,12,1,120,4,87,1,263
557,12221,4,72,0,50,3,258,2,276
558,1014639,0,13,1,157,2,4,1,0
559,1017473,0,12,1,195,14,31,1,263
560,1018472,0,73,1,70,4,128,2,90
561,1024355,0,12,1,185,3,14,1,0
562,1029021,0,6,1,145,3,30,3,11
563,1031148,2,39,0,50,28,258,1,287
564,306739,0,20,1,185,3,228,3,1
565,272730,1,19,1,250,1,60,1,0
566,666271,1,11,0,80,90,9,1,338
567,1094178,1,71,1,230,2,179,1,44
568,1096084,0,34,1,100,7,9,1,0
569,293130,0,21,0,40,1,1,1,5
570,800223,1,23,0,200,30,25,1,0
571,1109658,3,74,0,80,2,2,1,158
572,1112560,0,6,0,79,3,152,3,192
573,864735,2,25,1,95,30,24,8,358
574,1114587,1,8,1,300,2,45,3,31
575,1121193,0,75,1,100,30,7,1,241
576,1129218,1,2,0,80,7,19,1,285
577,447754,0,76,1,110,1,24,1,183
578,759583,0,3,1,172,4,8,2,189
579,1138692,1,23,1,199,1,29,2,162
580,1138692,1,23,1,199,1,14,2,158
581,1139574,1,2,0,100,1,33,1,84
582,921500,1,2,0,55,4,99,1,260
583,918087,0,6,0,75,3,59,3,0
584,1144415,1,19,1,146,3,142,1,166
585,846050,1,48,0,250,2,0,1,0
586,1146744,0,20,1,116,29,22,1,335
587,4887492,1,77,0,150,3,82,2,90
588,22486,0,16,0,120,2,23,6,342
589,1153993,1,14,1,199,4,32,1,28
590,1164642,0,29,1,150,5,24,1,363
591,1165231,1,2,0,69,1,59,2,86
592,1165231,1,2,0,300,55,6,2,83
593,991380,0,38,1,230,4,18,1,0
594,1173599,1,1,1,125,4,3,1,0
595,1112560,0,6,0,79,3,115,3,264
596,663879,0,13,0,130,3,154,2,305
597,1177497,0,3,0,239,1,164,11,356
598,1177947,3,78,1,75,6,76,1,278
599,815977,0,12,1,220,3,116,2,135
600,209460,0,6,1,80,3,234,4,308
601,1187935,1,19,1,288,2,120,1,229
602,1191142,0,6,1,135,4,82,1,273
603,1192424,1,11,1,225,3,13,1,83
604,1192610,1,9,0,110,30,59,1,281
605,1194377,0,6,1,100,7,63,1,321
606,1190088,1,7,0,130,2,52,1,303
607,1097545,1,19,0,89,1,278,3,192
608,507304,0,79,1,200,5,1,1,0
609,1203500,0,6,1,80,2,35,1,36
610,12221,4,80,0,50,5,235,2,271
611,292204,1,4,1,135,28,115,2,341
612,1207399,1,19,0,90,1,109,1,333
613,1184442,1,27,0,270,5,1,1,210
614,1217241,0,6,1,110,3,305,1,231
615,763420,1,4,1,145,1,102,1,308
616,1220414,1,7,1,179,30,83,1,292
617,1012895,2,44,0,55,1,19,1,311
618,1223568,1,1,0,110,2,61,1,264
619,902054,1,2,1,325,5,89,1,153
620,1229984,2,25,0,75,30,65,3,219
621,1234405,0,10,1,300,1,40,1,0
622,83257,1,11,0,130,30,80,2,332
623,1236070,1,1,1,190,30,136,1,120
624,1236817,1,23,1,200,3,100,1,191
625,1240820,0,12,1,180,2,125,3,248
626,4166168,0,40,1,350,5,40,1,67
627,1151987,1,19,1,160,4,0,1,0
628,1146958,1,26,1,195,30,139,4,325
629,1243192,1,52,1,241,30,0,1,249
630,65064,1,9,1,300,7,2,1,0
631,1256874,2,49,1,75,28,49,1,313
632,1257309,1,23,1,100,5,8,1,0
633,1257760,1,68,1,399,1,0,1,12
634,136962,0,13,0,85,5,124,1,69
635,1258363,0,24,1,80,21,5,1,0
636,1263176,0,29,0,55,1,147,1,293
637,1177497,0,3,0,438,1,43,11,363
638,1264655,0,6,1,110,6,8,1,4
639,1269455,1,11,1,200,2,37,1,257
640,1177497,0,3,0,279,1,120,11,362
641,1273825,0,12,1,137,1,24,1,0
642,1276497,0,6,1,280,3,5,1,365
643,288711,0,12,1,199,30,242,1,102
644,714200,1,18,0,71,4,229,1,26
645,1260921,4,59,0,42,2,108,2,302
646,1288460,0,6,1,180,2,181,1,280
647,825022,1,14,1,226,5,34,1,302
648,283604,0,15,0,85,3,5,1,281
649,1292250,1,68,1,135,1,5,1,0
650,3647,2,81,1,79,4,60,2,297
651,936630,1,23,1,154,1,238,1,246
652,417504,0,20,1,199,3,34,28,60
653,605463,1,11,1,700,3,131,4,296
654,1306587,1,11,1,246,4,6,1,0
655,1307773,1,30,0,125,60,4,1,364
656,758441,0,6,0,100,1,7,4,281
